CODIGO,DESCRIPCION DEL ITEM,UNIDAD DE MEDIDA,PRECIO UNITARIO
46482620005,TANQUE DE ACERO INOXIDABLE (MAYOR A 1/4 UIT) 120 L,UNIDAD,0.0
46482620014,TANQUE DE ACERO INOXIDABLE (MAYOR A 1/4 UIT) 60 L,UNIDAD,0.0
46483750001,TANQUE DE AIREACION,UNIDAD,0.0
50100030101,PLANTA DE MOCO DE PAVO - Acalypha hispida,UNIDAD,0.0
50100030227,PLANTA COLEO - Coleus blumei,UNIDAD,0.0
50100030319,PLANTA DURANTA VERDE - Duranta repens,UNIDAD,0.0
50100040040,COLEUS LIMON,UNIDAD,0.0
50100070001,CESPED AMERICANO,M2,0.0
50200050002,Acalypha VERDE,UNIDAD,0.0
50200050003,Acalypha ROJA DE 40 cm ALTO,UNIDAD,0.0
50200050004,Acalypha ROJA DE 80 cm ALTO,UNIDAD,0.0
50200050005,Acalypha ROJA CRESPA,UNIDAD,0.0
50200050020,ARBUSTO TUYA - THUJA ORIENTALIS ENANA,UNIDAD,0.0
50200050046,ARBUSTO ACALIFA PICTA GRANDE - Acalypha wilkesiana,UNIDAD,0.0
50200060001,ARBOL DE CASUARINA - CASUARINA CUNNINGHAMIANA,UNIDAD,0.0
50200060014,ARBOL DE CIPRES - CUPRESSUS SEMPERVIRENS,UNIDAD,0.0
50200060035,ARBOL DE ARAUCARIA - ARAUCARIA EXCELSA,UNIDAD,0.0
50400010002,DISCO DENTADO DE 20 in DE DIAMETRO PARA RASTRA DE GRADA DE TRACTOR,UNIDAD,0.0
50400010003,DISCO LISO DE 28 in DE DIAMETRO PARA ARADO DE TRACTOR,UNIDAD,0.0
50400010004,DISCO LISO DE 20 in DE DIAMETRO PARA RASTRA DE GRADA DE TRACTOR,UNIDAD,0.0
50500010014,SEMILLA DE ZANAHORIA - DAUCUS CAROTA X 500 g,UNIDAD,0.0
50500010024,SEMILLA DE GRASS (AL PESO),KILOGRAMO,0.0
50500010040,SEMILLA DE MAIZ FORRAJERO (AL PESO),KILOGRAMO,0.0
50500010048,SEMILLA DE ALFALFA MOAPA (AL PESO),KILOGRAMO,0.0
50500010116,SEMILLA DE ZANAHORIA - DAUCUS CAROTA X 100 g,UNIDAD,0.0
50500010122,SEMILLA DE CEBADA - HORDEUM VULGARE X 1 KG,UNIDAD,5.1
50500010146,SEMILLA DE MAIZ CHALA - ZEA MAYS X 50 kg,UNIDAD,0.0
50500010181,SEMILLA DE CASUARINA - Casuarina cunninghamiana (AL PESO),KILOGRAMO,0.0
50500010182,SEMILLA DE CASUARINA - Casuarina equisetifolia l. (AL PESO),KILOGRAMO,0.0
50500010296,SEMILLA DE ALFALFA - Medicago sativa X 25 kg APROX.,UNIDAD,0.0
50500030066,ISARIA FUMOSOROSEA X 800 g,UNIDAD,0.0
50500040029,NUTRIENTE FOLIAR NITROGENO MAGNESIO CALCIO 16% N + 3% Mg + 24% Ca + EM SOLUCION CONCENTRADA 1 L,UNIDAD,0.0
50500040030,NUTRIENTE FOLIAR NITROGENO POTASIO MAGNESIO 7.5% N + 15% K + 4.5% Mg + EM SOLUCION CONCENTRADA 1 L,UNIDAD,0.0
50500050002,ACEITE VEGETAL AGRICOLA,LITRO,0.0
50500050017,ACIDIFICANTE CON INDICADOR DE pH PARA AGUA - USO AGRÍCOLA,LITRO,0.0
50500060002,ABONO ORGANICO CONCENTRADO,KILOGRAMO,0.0
50500060004,HUMUS DE LOMBRIZ,KILOGRAMO,0.0
50500060048,HUMUS DE LOMBRIZ X 40 kg,UNIDAD,0.0
50500070018,FERTILIZANTE UREA 46% N X 50 kg,UNIDAD,200.0
50500070019,FERTILIZANTE FOSFATO DIAMONICO 18% N + 46% P205 X 50 kg,UNIDAD,0.0
50500070038,ABONO FOLIAR (NITROGENO FOSFORO Y POTASIO) 10-55-10,KILOGRAMO,65.0
50500070043,ABONO FOLIAR (NITROGENO FOSFORO Y POTASIO) 32-20-20,KILOGRAMO,0.0
50500070061,ABONO FOLIAR (NITROGENO FOSFORO Y POTASIO) 13-40-13 X 1 kg,UNIDAD,0.0
50500070084,ABONO FOLIAR (NITROGENO FOSFORO Y POTASIO) 12-45-12 X 1 kg,UNIDAD,0.0
50500070122,SULFATO DE POTASIO 50% K2O + 18% S GRANULADO X 50 kg,UNIDAD,0.0
50500070141,ABONO FOLIAR (NITROGENO FOSFORO Y POTASIO) 20-20-20,KILOGRAMO,0.0
50500070211,"DICLORURO 1,1-DIMETIL-4,4-BIPIRIDILO X 4 L",UNIDAD,0.0
50500080005,SUJETADOR DE HERRAMIENTAS PARA PODA,UNIDAD,0.0
55200020002,MACHETE TIPO CAÑERO,UNIDAD,0.0
55200020006,MACHETE TIPO SABLE,UNIDAD,0.0
55200020012,MACHETE CON HOJA DE ACERO INOXIDABLE DE 56 cm,UNIDAD,0.0
55200070002,TIJERA PARA PODAR FRUTALES GRANDE,UNIDAD,0.0
55200070003,TIJERA PARA PODAR FRUTALES CHICA,UNIDAD,0.0
55200070005,TIJERA PARA PODAR GRANDE,UNIDAD,0.0
55200070007,TIJERA TIPO PICO DE LORO,UNIDAD,0.0
55200070009,TIJERA PARA PODAR DE 17 cm,UNIDAD,0.0
55200070010,TIJERA PARA PODAR DE 57 CM,UNIDAD,0.0
55200070018,TIJERA PARA PODAR DE 12 in,UNIDAD,0.0
55200070022,TIJERA PARA PODAR DE 150 cm CON MANGO TELESCOPICO,UNIDAD,0.0
